code,location,catholic,protestant,other,none
N09000001,antrim_and_newtownabbey,45764,79689,2223,17985
N09000002,armagh_banbridge_craigavon,95868,102063,2697,18028
N09000003,belfast,168271,125633,11500,40014
N09000004,causeway_coast_glens,56862,72530,1102,11252
N09000005,derry_strabane,109131,34848,1484,5293
N09000006,fermanagh_omagh,75097,35856,1073,4786
N09000007,lisburn_castlereagh,40563,86883,2517,19141
N09000008,mid_east_antrim,27337,93477,1341,16839
N09000009,mid_ulster,97298,45421,1013,6561
N09000010,newry_mourne_down,131300,39970,1327,9477
N09000011,ards_north_down,22262,111175,2237,27984
