origin,destination_code,destination,religious_background,count,share
gb,N09000001,antrim_and_newtownabbey,catholic,183,0.006713872
gb,N09000001,antrim_and_newtownabbey,none,544,0.019958176
gb,N09000001,antrim_and_newtownabbey,other,39,0.001430825
gb,N09000001,antrim_and_newtownabbey,protestant,254,0.009318707
gb,N09000002,armagh_banbridge_craigavon,catholic,328,0.012033606
gb,N09000002,armagh_banbridge_craigavon,none,330,0.012106982
gb,N09000002,armagh_banbridge_craigavon,other,35,0.001284074
gb,N09000002,armagh_banbridge_craigavon,protestant,339,0.012437172
gb,N09000003,belfast,catholic,737,0.027038926
gb,N09000003,belfast,none,1607,0.058957332
gb,N09000003,belfast,other,274,0.010052464
gb,N09000003,belfast,protestant,554,0.020325054
gb,N09000004,causeway_coast_glens,catholic,225,0.00825476
gb,N09000004,causeway_coast_glens,none,319,0.011703416
gb,N09000004,causeway_coast_glens,other,26,0.000953883
gb,N09000004,causeway_coast_glens,protestant,318,0.011666728
gb,N09000005,derry_strabane,catholic,480,0.017610155
gb,N09000005,derry_strabane,none,288,0.010566093
gb,N09000005,derry_strabane,other,34,0.001247386
gb,N09000005,derry_strabane,protestant,120,0.004402539
gb,N09000006,fermanagh_omagh,catholic,324,0.011886855
gb,N09000006,fermanagh_omagh,none,230,0.008438199
gb,N09000006,fermanagh_omagh,other,24,0.000880508
gb,N09000006,fermanagh_omagh,protestant,159,0.005833364
gb,N09000007,lisburn_castlereagh,catholic,235,0.008621638
gb,N09000007,lisburn_castlereagh,none,534,0.019591298
gb,N09000007,lisburn_castlereagh,other,51,0.001871079
gb,N09000007,lisburn_castlereagh,protestant,374,0.013721246
gb,N09000008,mid_east_antrim,catholic,117,0.004292475
gb,N09000008,mid_east_antrim,none,328,0.012033606
gb,N09000008,mid_east_antrim,other,26,0.000953883
gb,N09000008,mid_east_antrim,protestant,296,0.010859596
gb,N09000009,mid_ulster,catholic,312,0.011446601
gb,N09000009,mid_ulster,none,186,0.006823935
gb,N09000009,mid_ulster,other,9,0.00033019
gb,N09000009,mid_ulster,protestant,115,0.0042191
gb,N09000010,newry_mourne_down,catholic,484,0.017756906
gb,N09000010,newry_mourne_down,none,352,0.012914114
gb,N09000010,newry_mourne_down,other,27,0.000990571
gb,N09000010,newry_mourne_down,protestant,189,0.006933999
gb,N09000011,ards_north_down,catholic,123,0.004512602
gb,N09000011,ards_north_down,none,710,0.026048355
gb,N09000011,ards_north_down,other,15,0.000550317
gb,N09000011,ards_north_down,protestant,470,0.017243277
other,N09000001,antrim_and_newtownabbey,catholic,143,0.005246359
other,N09000001,antrim_and_newtownabbey,none,219,0.008034633
other,N09000001,antrim_and_newtownabbey,other,67,0.002458084
other,N09000001,antrim_and_newtownabbey,protestant,167,0.006126866
other,N09000002,armagh_banbridge_craigavon,catholic,359,0.013170929
other,N09000002,armagh_banbridge_craigavon,none,321,0.011776791
other,N09000002,armagh_banbridge_craigavon,other,69,0.00253146
other,N09000002,armagh_banbridge_craigavon,protestant,283,0.010382654
other,N09000003,belfast,catholic,809,0.029680449
other,N09000003,belfast,none,2211,0.081116777
other,N09000003,belfast,other,1035,0.037971897
other,N09000003,belfast,protestant,655,0.024030524
other,N09000004,causeway_coast_glens,catholic,166,0.006090179
other,N09000004,causeway_coast_glens,none,132,0.004842793
other,N09000004,causeway_coast_glens,other,19,0.000697069
other,N09000004,causeway_coast_glens,protestant,136,0.004989544
other,N09000005,derry_strabane,catholic,243,0.008915141
other,N09000005,derry_strabane,none,118,0.004329163
other,N09000005,derry_strabane,other,52,0.001907767
other,N09000005,derry_strabane,protestant,69,0.00253146
other,N09000006,fermanagh_omagh,catholic,256,0.009392083
other,N09000006,fermanagh_omagh,none,116,0.004255788
other,N09000006,fermanagh_omagh,other,48,0.001761016
other,N09000006,fermanagh_omagh,protestant,114,0.004182412
other,N09000007,lisburn_castlereagh,catholic,153,0.005613237
other,N09000007,lisburn_castlereagh,none,223,0.008181385
other,N09000007,lisburn_castlereagh,other,39,0.001430825
other,N09000007,lisburn_castlereagh,protestant,201,0.007374252
other,N09000008,mid_east_antrim,catholic,82,0.003008402
other,N09000008,mid_east_antrim,none,165,0.006053491
other,N09000008,mid_east_antrim,other,20,0.000733756
other,N09000008,mid_east_antrim,protestant,178,0.006530433
other,N09000009,mid_ulster,catholic,406,0.014895256
other,N09000009,mid_ulster,none,181,0.006640496
other,N09000009,mid_ulster,other,21,0.000770444
other,N09000009,mid_ulster,protestant,114,0.004182412
other,N09000010,newry_mourne_down,catholic,436,0.015995891
other,N09000010,newry_mourne_down,none,154,0.005649925
other,N09000010,newry_mourne_down,other,32,0.00117401
other,N09000010,newry_mourne_down,protestant,160,0.005870052
other,N09000011,ards_north_down,catholic,98,0.003595407
other,N09000011,ards_north_down,none,270,0.009905712
other,N09000011,ards_north_down,other,26,0.000953883
other,N09000011,ards_north_down,protestant,243,0.008915141
roi,N09000001,antrim_and_newtownabbey,catholic,37,0.001357449
roi,N09000001,antrim_and_newtownabbey,none,23,0.00084382
roi,N09000001,antrim_and_newtownabbey,other,5,0.000183439
roi,N09000001,antrim_and_newtownabbey,protestant,15,0.000550317
roi,N09000002,armagh_banbridge_craigavon,catholic,152,0.005576549
roi,N09000002,armagh_banbridge_craigavon,none,65,0.002384709
roi,N09000002,armagh_banbridge_craigavon,other,5,0.000183439
roi,N09000002,armagh_banbridge_craigavon,protestant,57,0.002091206
roi,N09000003,belfast,catholic,517,0.018967605
roi,N09000003,belfast,none,404,0.014821881
roi,N09000003,belfast,other,44,0.001614264
roi,N09000003,belfast,protestant,117,0.004292475
roi,N09000004,causeway_coast_glens,catholic,105,0.003852221
roi,N09000004,causeway_coast_glens,none,39,0.001430825
roi,N09000004,causeway_coast_glens,other,10,0.000366878
roi,N09000004,causeway_coast_glens,protestant,24,0.000880508
roi,N09000005,derry_strabane,catholic,332,0.012180357
roi,N09000005,derry_strabane,none,90,0.003301904
roi,N09000005,derry_strabane,other,10,0.000366878
roi,N09000005,derry_strabane,protestant,51,0.001871079
roi,N09000006,fermanagh_omagh,catholic,269,0.009869024
roi,N09000006,fermanagh_omagh,none,92,0.00337528
roi,N09000006,fermanagh_omagh,other,21,0.000770444
roi,N09000006,fermanagh_omagh,protestant,40,0.001467513
roi,N09000007,lisburn_castlereagh,catholic,69,0.00253146
roi,N09000007,lisburn_castlereagh,none,54,0.001981142
roi,N09000007,lisburn_castlereagh,other,7,0.000256815
roi,N09000007,lisburn_castlereagh,protestant,30,0.001100635
roi,N09000008,mid_east_antrim,catholic,26,0.000953883
roi,N09000008,mid_east_antrim,none,25,0.000917196
roi,N09000008,mid_east_antrim,other,2,7.3376e-05
roi,N09000008,mid_east_antrim,protestant,26,0.000953883
roi,N09000009,mid_ulster,catholic,138,0.00506292
roi,N09000009,mid_ulster,none,19,0.000697069
roi,N09000009,mid_ulster,protestant,20,0.000733756
roi,N09000010,newry_mourne_down,catholic,311,0.011409913
roi,N09000010,newry_mourne_down,none,106,0.003888909
roi,N09000010,newry_mourne_down,other,16,0.000587005
roi,N09000010,newry_mourne_down,protestant,32,0.00117401
roi,N09000011,ards_north_down,catholic,25,0.000917196
roi,N09000011,ards_north_down,none,55,0.00201783
roi,N09000011,ards_north_down,other,8,0.000293503
roi,N09000011,ards_north_down,protestant,31,0.001137323
