source_code,source,destination_code,destination,count,source_population,rate_per_1000
N09000001,antrim_and_newtownabbey,N09000002,armagh_banbridge_craigavon,156,145661,1.07098
N09000001,antrim_and_newtownabbey,N09000003,belfast,1405,145661,9.645684
N09000001,antrim_and_newtownabbey,N09000004,causeway_coast_glens,283,145661,1.942867
N09000001,antrim_and_newtownabbey,N09000005,derry_strabane,68,145661,0.466837
N09000001,antrim_and_newtownabbey,N09000006,fermanagh_omagh,62,145661,0.425646
N09000001,antrim_and_newtownabbey,N09000007,lisburn_castlereagh,304,145661,2.087038
N09000001,antrim_and_newtownabbey,N09000008,mid_east_antrim,875,145661,6.007099
N09000001,antrim_and_newtownabbey,N09000009,mid_ulster,148,145661,1.016058
N09000001,antrim_and_newtownabbey,N09000010,newry_mourne_down,110,145661,0.755178
N09000001,antrim_and_newtownabbey,N09000011,ards_north_down,219,145661,1.503491
N09000002,armagh_banbridge_craigavon,N09000001,antrim_and_newtownabbey,168,218656,0.76833
N09000002,armagh_banbridge_craigavon,N09000003,belfast,1235,218656,5.648141
N09000002,armagh_banbridge_craigavon,N09000004,causeway_coast_glens,216,218656,0.987853
N09000002,armagh_banbridge_craigavon,N09000005,derry_strabane,106,218656,0.48478
N09000002,armagh_banbridge_craigavon,N09000006,fermanagh_omagh,129,218656,0.589968
N09000002,armagh_banbridge_craigavon,N09000007,lisburn_castlereagh,524,218656,2.396458
N09000002,armagh_banbridge_craigavon,N09000008,mid_east_antrim,94,218656,0.429899
N09000002,armagh_banbridge_craigavon,N09000009,mid_ulster,420,218656,1.920825
N09000002,armagh_banbridge_craigavon,N09000010,newry_mourne_down,511,218656,2.337004
N09000002,armagh_banbridge_craigavon,N09000011,ards_north_down,159,218656,0.72717
N09000003,belfast,N09000001,antrim_and_newtownabbey,1481,345418,4.287559
N09000003,belfast,N09000002,armagh_banbridge_craigavon,753,345418,2.179967
N09000003,belfast,N09000004,causeway_coast_glens,529,345418,1.531478
N09000003,belfast,N09000005,derry_strabane,460,345418,1.33172
N09000003,belfast,N09000006,fermanagh_omagh,360,345418,1.042216
N09000003,belfast,N09000007,lisburn_castlereagh,2681,345418,7.761611
N09000003,belfast,N09000008,mid_east_antrim,652,345418,1.887568
N09000003,belfast,N09000009,mid_ulster,464,345418,1.3433
N09000003,belfast,N09000010,newry_mourne_down,802,345418,2.321825
N09000003,belfast,N09000011,ards_north_down,1405,345418,4.067536
N09000004,causeway_coast_glens,N09000001,antrim_and_newtownabbey,192,141746,1.354536
N09000004,causeway_coast_glens,N09000002,armagh_banbridge_craigavon,108,141746,0.761926
N09000004,causeway_coast_glens,N09000003,belfast,745,141746,5.25588
N09000004,causeway_coast_glens,N09000005,derry_strabane,280,141746,1.975364
N09000004,causeway_coast_glens,N09000006,fermanagh_omagh,80,141746,0.56439
N09000004,causeway_coast_glens,N09000007,lisburn_castlereagh,92,141746,0.649048
N09000004,causeway_coast_glens,N09000008,mid_east_antrim,344,141746,2.426876
N09000004,causeway_coast_glens,N09000009,mid_ulster,185,141746,1.305151
N09000004,causeway_coast_glens,N09000010,newry_mourne_down,129,141746,0.910079
N09000004,causeway_coast_glens,N09000011,ards_north_down,119,141746,0.83953
N09000005,derry_strabane,N09000001,antrim_and_newtownabbey,86,150756,0.570458
N09000005,derry_strabane,N09000002,armagh_banbridge_craigavon,92,150756,0.610258
N09000005,derry_strabane,N09000003,belfast,781,150756,5.180557
N09000005,derry_strabane,N09000004,causeway_coast_glens,392,150756,2.600228
N09000005,derry_strabane,N09000006,fermanagh_omagh,228,150756,1.512378
N09000005,derry_strabane,N09000007,lisburn_castlereagh,73,150756,0.484226
N09000005,derry_strabane,N09000008,mid_east_antrim,75,150756,0.497493
N09000005,derry_strabane,N09000009,mid_ulster,95,150756,0.630157
N09000005,derry_strabane,N09000010,newry_mourne_down,93,150756,0.616891
N09000005,derry_strabane,N09000011,ards_north_down,44,150756,0.291862
N09000006,fermanagh_omagh,N09000001,antrim_and_newtownabbey,84,116812,0.719104
N09000006,fermanagh_omagh,N09000002,armagh_banbridge_craigavon,87,116812,0.744786
N09000006,fermanagh_omagh,N09000003,belfast,620,116812,5.307674
N09000006,fermanagh_omagh,N09000004,causeway_coast_glens,106,116812,0.907441
N09000006,fermanagh_omagh,N09000005,derry_strabane,196,116812,1.67791
N09000006,fermanagh_omagh,N09000007,lisburn_castlereagh,76,116812,0.650618
N09000006,fermanagh_omagh,N09000008,mid_east_antrim,23,116812,0.196898
N09000006,fermanagh_omagh,N09000009,mid_ulster,212,116812,1.814882
N09000006,fermanagh_omagh,N09000010,newry_mourne_down,61,116812,0.522207
N09000006,fermanagh_omagh,N09000011,ards_north_down,42,116812,0.359552
N09000007,lisburn_castlereagh,N09000001,antrim_and_newtownabbey,301,149106,2.018698
N09000007,lisburn_castlereagh,N09000002,armagh_banbridge_craigavon,667,149106,4.473328
N09000007,lisburn_castlereagh,N09000003,belfast,2051,149106,13.755315
N09000007,lisburn_castlereagh,N09000004,causeway_coast_glens,239,149106,1.602887
N09000007,lisburn_castlereagh,N09000005,derry_strabane,83,149106,0.556651
N09000007,lisburn_castlereagh,N09000006,fermanagh_omagh,81,149106,0.543238
N09000007,lisburn_castlereagh,N09000008,mid_east_antrim,131,149106,0.87857
N09000007,lisburn_castlereagh,N09000009,mid_ulster,94,149106,0.630424
N09000007,lisburn_castlereagh,N09000010,newry_mourne_down,441,149106,2.957627
N09000007,lisburn_castlereagh,N09000011,ards_north_down,705,149106,4.72818
N09000008,mid_east_antrim,N09000001,antrim_and_newtownabbey,713,138994,5.129718
