source_code,source,destination_code,destination,religious_background,count,source_population,rate_per_1000
N09000001,antrim_and_newtownabbey,N09000002,armagh_banbridge_craigavon,catholic,42,45764,0.917752
N09000001,antrim_and_newtownabbey,N09000002,armagh_banbridge_craigavon,protestant,63,79689,0.790573
N09000001,antrim_and_newtownabbey,N09000002,armagh_banbridge_craigavon,other,3,2223,1.349528
N09000001,antrim_and_newtownabbey,N09000002,armagh_banbridge_craigavon,none,48,17985,2.668891
N09000001,antrim_and_newtownabbey,N09000003,belfast,catholic,528,45764,11.537453
N09000001,antrim_and_newtownabbey,N09000003,belfast,protestant,370,79689,4.64305
N09000001,antrim_and_newtownabbey,N09000003,belfast,other,38,2223,17.094017
N09000001,antrim_and_newtownabbey,N09000003,belfast,none,469,17985,26.077287
N09000001,antrim_and_newtownabbey,N09000004,causeway_coast_glens,catholic,60,45764,1.311074
N09000001,antrim_and_newtownabbey,N09000004,causeway_coast_glens,protestant,129,79689,1.618793
N09000001,antrim_and_newtownabbey,N09000004,causeway_coast_glens,none,94,17985,5.226578
N09000001,antrim_and_newtownabbey,N09000005,derry_strabane,catholic,29,45764,0.633686
N09000001,antrim_and_newtownabbey,N09000005,derry_strabane,protestant,16,79689,0.200781
N09000001,antrim_and_newtownabbey,N09000005,derry_strabane,none,23,17985,1.278843
N09000001,antrim_and_newtownabbey,N09000006,fermanagh_omagh,catholic,29,45764,0.633686
N09000001,antrim_and_newtownabbey,N09000006,fermanagh_omagh,protestant,20,79689,0.250976
N09000001,antrim_and_newtownabbey,N09000006,fermanagh_omagh,none,13,17985,0.722825
N09000001,antrim_and_newtownabbey,N09000007,lisburn_castlereagh,catholic,74,45764,1.616992
N09000001,antrim_and_newtownabbey,N09000007,lisburn_castlereagh,protestant,105,79689,1.317622
N09000001,antrim_and_newtownabbey,N09000007,lisburn_castlereagh,other,2,2223,0.899685
N09000001,antrim_and_newtownabbey,N09000007,lisburn_castlereagh,none,123,17985,6.839033
N09000001,antrim_and_newtownabbey,N09000008,mid_east_antrim,catholic,89,45764,1.94476
N09000001,antrim_and_newtownabbey,N09000008,mid_east_antrim,protestant,474,79689,5.948123
N09000001,antrim_and_newtownabbey,N09000008,mid_east_antrim,other,12,2223,5.398111
N09000001,antrim_and_newtownabbey,N09000008,mid_east_antrim,none,300,17985,16.680567
