year,code,location,population
2023,N09000001,Antrim and Newtownabbey,147297
2024,N09000001,Antrim and Newtownabbey,147988
2025,N09000001,Antrim and Newtownabbey,148613
2026,N09000001,Antrim and Newtownabbey,149161
2027,N09000001,Antrim and Newtownabbey,149661
2028,N09000001,Antrim and Newtownabbey,150070
2029,N09000001,Antrim and Newtownabbey,150425
2030,N09000001,Antrim and Newtownabbey,150738
2031,N09000001,Antrim and Newtownabbey,151011
2032,N09000001,Antrim and Newtownabbey,151245
2033,N09000001,Antrim and Newtownabbey,151451
2034,N09000001,Antrim and Newtownabbey,151625
2035,N09000001,Antrim and Newtownabbey,151767
2036,N09000001,Antrim and Newtownabbey,151898
2037,N09000001,Antrim and Newtownabbey,152026
2038,N09000001,Antrim and Newtownabbey,152131
2039,N09000001,Antrim and Newtownabbey,152245
2040,N09000001,Antrim and Newtownabbey,152358
2041,N09000001,Antrim and Newtownabbey,152464
2042,N09000001,Antrim and Newtownabbey,152567
2043,N09000001,Antrim and Newtownabbey,152681
2044,N09000001,Antrim and Newtownabbey,152789
2045,N09000001,Antrim and Newtownabbey,152879
2046,N09000001,Antrim and Newtownabbey,152956
2047,N09000001,Antrim and Newtownabbey,153009
2023,N09000002,"Armagh City, Banbridge and Craigavon",221857
2024,N09000002,"Armagh City, Banbridge and Craigavon",223573
2025,N09000002,"Armagh City, Banbridge and Craigavon",225155
2026,N09000002,"Armagh City, Banbridge and Craigavon",226607
2027,N09000002,"Armagh City, Banbridge and Craigavon",227921
2028,N09000002,"Armagh City, Banbridge and Craigavon",229083
2029,N09000002,"Armagh City, Banbridge and Craigavon",230189
2030,N09000002,"Armagh City, Banbridge and Craigavon",231227
2031,N09000002,"Armagh City, Banbridge and Craigavon",232217
2032,N09000002,"Armagh City, Banbridge and Craigavon",233161
2033,N09000002,"Armagh City, Banbridge and Craigavon",234063
2034,N09000002,"Armagh City, Banbridge and Craigavon",234923
2035,N09000002,"Armagh City, Banbridge and Craigavon",235765
2036,N09000002,"Armagh City, Banbridge and Craigavon",236582
2037,N09000002,"Armagh City, Banbridge and Craigavon",237381
2038,N09000002,"Armagh City, Banbridge and Craigavon",238172
2039,N09000002,"Armagh City, Banbridge and Craigavon",238957
2040,N09000002,"Armagh City, Banbridge and Craigavon",239754
2041,N09000002,"Armagh City, Banbridge and Craigavon",240550
2042,N09000002,"Armagh City, Banbridge and Craigavon",241336
2043,N09000002,"Armagh City, Banbridge and Craigavon",242118
2044,N09000002,"Armagh City, Banbridge and Craigavon",242907
2045,N09000002,"Armagh City, Banbridge and Craigavon",243675
2046,N09000002,"Armagh City, Banbridge and Craigavon",244409
2047,N09000002,"Armagh City, Banbridge and Craigavon",245127
2023,N09000003,Belfast,350002
2024,N09000003,Belfast,351613
2025,N09000003,Belfast,352942
2026,N09000003,Belfast,354006
2027,N09000003,Belfast,354506
2028,N09000003,Belfast,354621
2029,N09000003,Belfast,354681
2030,N09000003,Belfast,354705
2031,N09000003,Belfast,354626
2032,N09000003,Belfast,354488
2033,N09000003,Belfast,354289
2034,N09000003,Belfast,354052
2035,N09000003,Belfast,353770
2036,N09000003,Belfast,353449
2037,N09000003,Belfast,353104
2038,N09000003,Belfast,352723
2039,N09000003,Belfast,352339
2040,N09000003,Belfast,351933
2041,N09000003,Belfast,351531
2042,N09000003,Belfast,351080
2043,N09000003,Belfast,350616
2044,N09000003,Belfast,350136
2045,N09000003,Belfast,349628
2046,N09000003,Belfast,349109
2047,N09000003,Belfast,348563
2023,N09000004,Causeway Coast and Glens,141632
2024,N09000004,Causeway Coast and Glens,141335
2025,N09000004,Causeway Coast and Glens,140988
2026,N09000004,Causeway Coast and Glens,140560
2027,N09000004,Causeway Coast and Glens,140097
2028,N09000004,Causeway Coast and Glens,139554
2029,N09000004,Causeway Coast and Glens,138940
2030,N09000004,Causeway Coast and Glens,138290
2031,N09000004,Causeway Coast and Glens,137594
2032,N09000004,Causeway Coast and Glens,136850
2033,N09000004,Causeway Coast and Glens,136058
2034,N09000004,Causeway Coast and Glens,135234
2035,N09000004,Causeway Coast and Glens,134384
2036,N09000004,Causeway Coast and Glens,133498
2037,N09000004,Causeway Coast and Glens,132580
2038,N09000004,Causeway Coast and Glens,131654
2039,N09000004,Causeway Coast and Glens,130715
2040,N09000004,Causeway Coast and Glens,129749
2041,N09000004,Causeway Coast and Glens,128780
2042,N09000004,Causeway Coast and Glens,127791
2043,N09000004,Causeway Coast and Glens,126793
2044,N09000004,Causeway Coast and Glens,125781
2045,N09000004,Causeway Coast and Glens,124751
2046,N09000004,Causeway Coast and Glens,123710
2047,N09000004,Causeway Coast and Glens,122643
2023,N09000005,Derry City and Strabane,151425
2024,N09000005,Derry City and Strabane,151442
2025,N09000005,Derry City and Strabane,151384
2026,N09000005,Derry City and Strabane,151258
2027,N09000005,Derry City and Strabane,151063
2028,N09000005,Derry City and Strabane,150789
2029,N09000005,Derry City and Strabane,150457
2030,N09000005,Derry City and Strabane,150071
2031,N09000005,Derry City and Strabane,149642
2032,N09000005,Derry City and Strabane,149172
2033,N09000005,Derry City and Strabane,148654
2034,N09000005,Derry City and Strabane,148100
2035,N09000005,Derry City and Strabane,147522
2036,N09000005,Derry City and Strabane,146903
2037,N09000005,Derry City and Strabane,146272
2038,N09000005,Derry City and Strabane,145628
2039,N09000005,Derry City and Strabane,144966
2040,N09000005,Derry City and Strabane,144303
2041,N09000005,Derry City and Strabane,143621
2042,N09000005,Derry City and Strabane,142939
2043,N09000005,Derry City and Strabane,142241
2044,N09000005,Derry City and Strabane,141524
2045,N09000005,Derry City and Strabane,140821
2046,N09000005,Derry City and Strabane,140083
2047,N09000005,Derry City and Strabane,139354
2023,N09000006,Fermanagh and Omagh,117374
2024,N09000006,Fermanagh and Omagh,117559
2025,N09000006,Fermanagh and Omagh,117690
2026,N09000006,Fermanagh and Omagh,117748
2027,N09000006,Fermanagh and Omagh,117735
2028,N09000006,Fermanagh and Omagh,117642
2029,N09000006,Fermanagh and Omagh,117527
2030,N09000006,Fermanagh and Omagh,117371
2031,N09000006,Fermanagh and Omagh,117176
2032,N09000006,Fermanagh and Omagh,116953
2033,N09000006,Fermanagh and Omagh,116685
2034,N09000006,Fermanagh and Omagh,116415
2035,N09000006,Fermanagh and Omagh,116107
2036,N09000006,Fermanagh and Omagh,115783
2037,N09000006,Fermanagh and Omagh,115439
2038,N09000006,Fermanagh and Omagh,115069
2039,N09000006,Fermanagh and Omagh,114692
2040,N09000006,Fermanagh and Omagh,114299
2041,N09000006,Fermanagh and Omagh,113891
2042,N09000006,Fermanagh and Omagh,113487
2043,N09000006,Fermanagh and Omagh,113072
2044,N09000006,Fermanagh and Omagh,112639
2045,N09000006,Fermanagh and Omagh,112183
2046,N09000006,Fermanagh and Omagh,111732
2047,N09000006,Fermanagh and Omagh,111270
2023,N09000007,Lisburn and Castlereagh,150566
2024,N09000007,Lisburn and Castlereagh,151650
2025,N09000007,Lisburn and Castlereagh,152673
2026,N09000007,Lisburn and Castlereagh,153621
2027,N09000007,Lisburn and Castlereagh,154644
2028,N09000007,Lisburn and Castlereagh,155572
2029,N09000007,Lisburn and Castlereagh,156457
2030,N09000007,Lisburn and Castlereagh,157289
2031,N09000007,Lisburn and Castlereagh,158093
2032,N09000007,Lisburn and Castlereagh,158838
2033,N09000007,Lisburn and Castlereagh,159588
2034,N09000007,Lisburn and Castlereagh,160292
2035,N09000007,Lisburn and Castlereagh,160974
2036,N09000007,Lisburn and Castlereagh,161656
2037,N09000007,Lisburn and Castlereagh,162330
2038,N09000007,Lisburn and Castlereagh,163002
2039,N09000007,Lisburn and Castlereagh,163699
2040,N09000007,Lisburn and Castlereagh,164397
2041,N09000007,Lisburn and Castlereagh,165100
2042,N09000007,Lisburn and Castlereagh,165819
2043,N09000007,Lisburn and Castlereagh,166565
2044,N09000007,Lisburn and Castlereagh,167305
2045,N09000007,Lisburn and Castlereagh,168040
2046,N09000007,Lisburn and Castlereagh,168754
2047,N09000007,Lisburn and Castlereagh,169446
2023,N09000008,Mid and East Antrim,139389
2024,N09000008,Mid and East Antrim,139517
2025,N09000008,Mid and East Antrim,139566
2026,N09000008,Mid and East Antrim,139547
2027,N09000008,Mid and East Antrim,139488
2028,N09000008,Mid and East Antrim,139323
2029,N09000008,Mid and East Antrim,139146
2030,N09000008,Mid and East Antrim,138914
2031,N09000008,Mid and East Antrim,138650
