period,births,deaths,population_end,natural_change,other_changes,population_start,net_migration,population_change,population_change_percent
mid-2001 to mid-2002,21460,14432,1697534,7028,652,1688838,1016,8696,0.514910251901011
mid-2002 to mid-2003,21433,14648,1704924,6785,376,1697534,229,7390,0.435337377631317
mid-2003 to mid-2004,22049,14736,1714042,7313,240,1704924,1565,9118,0.534803897417128
mid-2004 to mid-2005,22549,14390,1727733,8159,-158,1714042,5690,13691,0.798755223034208
mid-2005 to mid-2006,22714,14211,1743113,8503,-999,1727733,7876,15380,0.89018384206356
mid-2006 to mid-2007,23850,14555,1761683,9295,-1655,1743113,10930,18570,1.06533540854781
mid-2007 to mid-2008,25227,14462,1779152,10765,-1010,1761683,7714,17469,0.991608592465273
mid-2008 to mid-2009,25276,14566,1793333,10710,-186,1779152,3657,14181,0.797065118663273
mid-2009 to mid-2010,24981,14006,1804833,10975,-625,1793333,1150,11500,0.641264059714509
mid-2010 to mid-2011,25424,14184,1814318,11240,-261,1804833,-1494,9485,0.525533387299545
mid-2011 to mid-2012,25324,14235,1824603,11089,-275,1814318,-529,10285,0.566879675999466
mid-2012 to mid-2013,24527,14968,1831677,9559,-849,1824603,-1636,7074,0.387700776552488
mid-2013 to mid-2014,24185,14337,1843186,9848,-431,1831677,2092,11509,0.628331305137314
mid-2014 to mid-2015,24187,15403,1854943,8784,425,1843186,2548,11757,0.6378629177956
mid-2015 to mid-2016,24379,15341,1866042,9038,178,1854943,1883,11099,0.598347226842011
mid-2016 to mid-2017,23598,15901,1875178,7697,6,1866042,1433,9136,0.4895924100315
mid-2017 to mid-2018,23056,16365,1886259,6691,153,1875178,4237,11081,0.59093056765811
mid-2018 to mid-2019,22647,15349,1898519,7298,49,1886259,4913,12260,0.649963764255068
mid-2019 to mid-2020,21899,16691,1900523,5208,144,1898519,-3348,2004,0.105555962305355
mid-2020 to mid-2021,21524,17155,1904564,4369,75,1900523,-403,4041,0.212625682509499
mid-2021 to mid-2022,21468,17712,1910543,3756,-91,1904564,2314,5979,0.313930117339192
mid-2022 to mid-2023,20072,17601,1920382,2471,-155,1910543,7523,9839,0.514984483468836
mid-2023 to mid-2024,19785,17855,1927855,1930,-226,1920382,5769,7473,0.389141327090131
