year,population_start,births,deaths,immigration,emigration,net_migration,reconciliation_adjustment,population_end
2022,1904564,21468,17712,,,2314,-91,1910543
2023,1910543,20072,17601,,,7523,-155,1920382
2024,1920382,19785,17855,,,5769,-226,1927855
2025,1927855,19051,17176,23973,22400,1573,-2,1931301
2026,1931301,19040,17688,23907,22381,1526,1,1934180
2027,1934180,18785,17869,23874,22430,1444,5,1936545
2028,1936545,18536,18068,23848,22539,1309,2,1938324
2029,1938324,18305,18287,23844,22600,1244,-4,1939582
2030,1939582,18099,18523,23830,22639,1191,-2,1940347
2031,1940347,17921,18773,23847,22707,1140,-1,1940634
2032,1940634,17763,19020,23852,22764,1088,6,1940471
2033,1940471,17639,19290,23862,22753,1109,-2,1939927
2034,1939927,17550,19553,23865,22740,1125,5,1939054
2035,1939054,17506,19815,23865,22738,1127,6,1937878
2036,1937878,17509,20075,23856,22739,1117,0,1936429
2037,1936429,17561,20333,23839,22678,1161,0,1934818
2038,1934818,17646,20581,23828,22611,1217,-3,1933097
2039,1933097,17761,20824,23810,22533,1277,2,1931313
2040,1931313,17884,21056,23765,22427,1338,2,1929481
2041,1929481,18002,21280,23732,22308,1424,-3,1927624
2042,1927624,18108,21490,23682,22248,1434,1,1925677
2043,1925677,18185,21701,23614,22068,1546,0,1923707
2044,1923707,18240,21906,23544,21918,1626,6,1921673
2045,1921673,18241,22104,23473,21758,1715,-7,1919518
2046,1919518,18195,22306,23393,21624,1769,-4,1917172
2047,1917172,18116,22495,23295,21501,1794,-3,1914584
2048,1914584,18013,22679,23202,21369,1833,-1,1911750
2049,1911750,17871,22867,23114,21252,1862,6,1908622
2050,1908622,17687,23050,23024,21138,1886,0,1905145
2051,1905145,17448,23216,22940,21037,1903,0,1901280
2052,1901280,17196,23388,22842,20932,1910,2,1897000
2053,1897000,16921,23539,22743,20841,1902,5,1892289
2054,1892289,16632,23671,22664,20755,1909,1,1887160
2055,1887160,16336,23780,22572,20685,1887,-2,1881601
2056,1881601,16044,23880,22486,20598,1888,-4,1875649
2057,1875649,15772,23952,22401,20555,1846,1,1869316
2058,1869316,15509,23995,22334,20507,1827,3,1862660
2059,1862660,15269,24021,22266,20464,1802,6,1855716
2060,1855716,15050,24037,22207,20444,1763,4,1848496
2061,1848496,14851,24023,22156,20421,1735,2,1841061
2062,1841061,14688,23999,22101,20402,1699,0,1833449
2063,1833449,14546,23962,22050,20393,1657,-4,1825686
2064,1825686,14420,23917,22010,20376,1634,-2,1817821
2065,1817821,14319,23867,21979,20356,1623,0,1809896
2066,1809896,14240,23827,21950,20331,1619,-2,1801926
2067,1801926,14180,23779,21912,20316,1596,5,1793928
2068,1793928,14137,23744,21880,20280,1600,2,1785923
2069,1785923,14112,23719,21843,20234,1609,-2,1777923
2070,1777923,14101,23700,21814,20191,1623,-7,1769940
2071,1769940,14095,23700,21766,20136,1630,-7,1761958
2072,1761958,14099,23703,21736,20081,1655,-5,1754004
2073,1754004,14099,23719,21694,20013,1681,2,1746067
2074,1746067,14101,23747,21642,19944,1698,3,1738122
